Pre-Match PPG (Home),Pre-Match PPG (Away),home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_fouls,away_team_fouls,home_team_possession,team_a_xg,team_b_xg,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,result
1.5,0.0,4,2,3,0,3,0,11,9,3,3,15,19,52,0.0,0.0,2.2,3.45,3.5,0.0
1.0,2.0,5,4,3,0,2,1,12,6,6,2,20,18,54,0.0,0.0,2.9,3.34,2.59,2.0
2.0,0.0,1,4,2,0,4,0,9,7,5,4,11,21,56,0.0,0.0,1.76,3.72,5.19,0.0
2.0,1.67,7,1,3,0,2,0,16,8,6,3,11,17,66,0.0,0.0,1.8,3.82,4.81,1.0
3.0,0.33,5,8,3,0,1,0,12,14,9,9,19,16,42,0.0,0.0,1.86,3.79,4.46,1.0
3.0,2.33,3,7,1,0,5,0,4,12,0,4,15,22,46,0.0,0.0,3.04,3.32,2.53,1.0
0.0,1.0,5,6,1,0,3,0,13,8,5,3,16,13,54,0.0,0.0,2.72,3.37,2.77,0.0
2.33,2.0,8,5,2,0,2,0,12,7,7,3,25,16,54,0.0,0.0,2.08,3.58,3.77,0.0
0.5,1.33,5,5,3,0,2,0,6,9,2,3,14,16,44,0.0,0.0,3.04,3.39,2.49,1.0
1.0,2.0,9,8,2,0,2,0,11,8,7,5,19,18,38,0.0,0.0,2.05,3.52,3.95,1.0
1.0,0.67,10,6,5,0,4,0,10,7,5,3,19,16,45,0.0,0.0,2.56,3.47,2.89,2.0
0.67,2.0,12,5,2,1,3,0,13,11,5,6,18,15,53,0.0,0.0,2.34,3.45,3.25,2.0
1.0,0.5,8,8,3,0,3,0,13,14,7,5,21,16,43,0.0,0.0,2.19,3.47,3.56,1.0
1.33,0.0,5,3,1,1,2,0,6,7,3,3,20,18,41,0.0,0.0,1.87,3.66,4.6,2.0
1.67,0.25,8,3,4,0,2,0,9,9,6,4,25,26,48,0.0,0.0,2.57,3.34,2.97,1.0
0.67,2.33,4,5,1,0,1,0,9,14,2,6,5,9,51,0.0,0.0,2.64,3.42,2.82,1.0
2.0,1.0,2,9,1,0,3,0,8,10,5,5,18,16,47,0.0,0.0,1.93,3.64,4.32,0.0
2.33,0.67,5,4,2,0,5,1,6,5,3,2,11,17,52,0.0,0.0,2.49,3.41,3.02,0.0
0.75,1.33,4,9,2,0,1,0,7,10,3,5,14,11,44,0.0,0.0,2.53,3.41,2.97,0.0
0.5,2.33,2,10,3,1,1,0,6,2,2,0,12,18,46,0.0,0.0,3.99,3.54,2.03,2.0
1.33,3.0,7,3,1,0,2,0,17,8,8,5,16,18,63,0.0,0.0,2.44,3.41,3.1,1.0
2.5,1.5,4,3,3,0,3,0,10,6,5,3,10,19,69,0.0,0.0,2.02,3.52,3.99,1.0
1.0,1.5,7,2,3,0,3,0,12,8,4,3,24,19,56,0.0,0.0,1.99,3.47,4.18,2.0
2.5,1.25,4,4,5,0,1,0,10,8,3,4,17,19,62,0.0,0.0,2.36,3.37,3.23,2.0
0.75,1.75,3,4,2,1,1,0,9,12,4,6,21,11,53,0.0,0.0,2.61,3.35,2.87,1.0
0.75,0.0,6,6,2,0,4,0,7,8,5,3,17,17,48,0.0,0.0,1.65,4.09,5.63,0.0
1.75,2.33,5,3,1,0,3,0,13,7,5,2,14,18,55,0.0,0.0,1.68,3.97,5.51,0.0
0.67,2.0,3,3,1,0,0,0,5,5,3,2,15,19,47,0.0,0.0,3.55,3.31,2.24,1.0
2.5,0.75,3,3,1,0,4,0,4,8,2,6,21,17,47,0.0,0.0,2.38,3.31,3.25,1.0
1.0,1.25,2,3,3,1,2,0,12,8,4,4,23,25,51,0.0,0.0,2.13,3.45,3.69,2.0
1.0,0.6,3,8,2,0,3,0,8,11,5,5,19,15,47,0.0,0.0,2.03,3.5,4.05,0.0
1.2,0.5,4,1,2,1,0,0,3,9,3,6,16,19,55,0.0,0.0,2.98,3.31,2.58,2.0
0.75,0.4,3,2,2,0,2,0,10,5,6,3,11,10,55,0.0,0.0,2.42,3.34,3.2,1.0
2.25,2.0,1,6,3,0,2,0,7,9,4,5,11,19,47,0.0,0.0,2.29,3.5,3.3,2.0
2.5,1.8,8,2,3,0,4,0,9,6,4,4,14,16,60,0.0,0.0,1.97,3.49,4.32,2.0
1.0,2.5,9,5,2,0,3,0,19,9,5,0,20,18,41,0.0,0.0,2.76,3.36,2.74,1.0
1.25,0.75,6,1,4,0,2,1,13,5,6,3,18,13,63,0.0,0.0,1.97,3.65,4.1,0.0
0.8,1.0,3,4,3,0,2,0,3,6,0,0,15,10,50,0.0,0.0,1.92,3.72,4.26,0.0
0.4,0.75,8,3,2,0,2,0,9,12,5,7,24,14,48,0.0,0.0,3.32,3.48,2.29,0.0
0.8,2.5,6,5,3,0,2,0,9,10,7,2,13,16,41,0.0,0.0,2.86,3.38,2.63,0.0
0.75,1.4,4,6,2,0,2,0,6,6,6,3,12,19,48,0.0,0.0,1.89,3.62,4.52,0.0
1.5,1.6,3,7,3,1,5,0,9,14,5,6,22,26,32,0.0,0.0,3.29,3.38,2.35,0.0
2.2,1.75,9,4,3,0,1,0,16,10,8,4,15,11,51,0.0,0.0,1.82,3.91,4.54,1.0
1.2,1.6,6,3,2,0,1,0,15,8,6,6,19,20,57,0.0,0.0,2.51,3.42,2.99,1.0
2.0,1.6,11,1,0,0,4,0,12,5,3,0,15,17,51,0.0,0.0,1.9,3.76,4.28,0.0
2.0,1.8,8,8,2,0,3,0,11,9,0,4,17,14,54,0.0,0.0,2.68,3.43,2.77,2.0
2.2,0.0,6,8,3,0,2,0,12,14,4,4,12,9,51,0.0,0.0,1.54,4.2,7.17,0.0
0.75,0.8,3,1,4,0,4,0,7,3,3,0,7,11,57,0.0,0.0,2.64,3.31,2.9,2.0
1.6,0.5,7,4,1,0,4,0,13,2,8,0,18,18,58,0.0,0.0,1.74,3.77,5.47,0.0
1.8,0.5,2,4,4,0,3,0,9,5,5,3,11,11,51,0.0,0.0,2.17,3.4,3.69,0.0
1.0,2.2,10,7,2,0,2,0,20,19,12,13,10,17,50,0.0,0.0,3.49,3.5,2.21,0.0
1.0,1.33,10,2,2,0,2,0,17,9,5,2,16,18,48,0.0,0.0,2.8,3.29,2.74,0.0
1.17,0.6,10,5,1,0,2,0,12,8,4,5,8,13,49,0.0,0.0,2.43,3.45,3.08,2.0
0.83,0.6,5,4,3,0,2,0,7,9,0,5,21,21,52,0.0,0.0,3.56,3.55,2.16,1.0
1.17,1.0,11,3,4,0,3,0,11,7,4,4,15,18,56,0.0,0.0,2.2,3.4,3.61,0.0
2.0,2.2,4,1,2,0,1,0,15,10,7,7,14,12,44,0.0,0.0,3.11,3.44,2.42,0.0
0.8,2.0,5,2,0,0,2,0,8,4,6,0,20,15,63,0.0,0.0,2.27,3.35,3.49,1.0
1.4,1.17,7,2,2,1,1,0,13,11,7,6,19,12,51,0.0,0.0,1.78,3.67,5.26,2.0
1.2,1.33,8,2,2,0,4,0,12,6,6,2,16,17,46,0.0,0.0,2.51,3.45,2.97,0.0
1.67,1.5,7,4,3,0,2,0,12,11,5,6,17,17,57,0.0,0.0,1.92,3.69,4.31,1.0
1.17,1.6,3,4,0,0,3,0,11,7,4,4,16,14,47,0.0,0.0,1.69,3.96,5.53,1.0
2.33,0.8,4,3,2,0,4,0,9,9,2,4,17,22,53,0.0,0.0,2.07,3.5,3.91,2.0
2.17,2.0,7,4,1,0,3,0,13,7,9,4,14,23,62,0.0,0.0,1.95,3.54,4.34,1.0
0.6,0.0,4,4,1,0,2,0,18,10,9,4,12,16,56,0.0,0.0,0.0,0.0,0.0,0.0
1.8,2.0,3,4,5,0,4,0,9,13,6,8,18,21,50,0.0,0.0,4.3,3.46,1.99,2.0
2.0,1.17,10,5,0,0,3,0,10,11,4,4,17,17,55,0.0,0.0,2.25,3.4,3.5,1.0
1.33,1.83,4,6,2,0,2,0,9,15,0,5,15,17,38,0.0,0.0,2.62,3.33,2.91,0.0
2.0,1.43,8,5,2,0,1,0,9,3,3,0,11,11,58,0.0,0.0,2.25,3.42,3.46,1.0
1.29,1.86,1,7,3,0,2,0,9,14,3,6,13,16,58,0.0,0.0,2.56,3.3,3.01,2.0
1.0,0.67,7,3,1,0,5,0,11,6,6,0,17,26,44,0.0,0.0,2.36,3.57,3.11,1.0
0.86,1.83,0,5,5,1,5,0,7,6,3,5,26,16,40,0.0,0.0,4.75,3.77,1.82,1.0
1.14,0.83,0,4,2,0,3,0,16,7,5,4,10,22,50,0.0,0.0,2.26,3.4,3.46,1.0
1.83,1.14,9,5,1,0,4,0,15,5,9,2,9,11,55,0.0,0.0,1.83,3.67,4.87,2.0
1.43,0.43,8,4,2,0,2,0,10,6,3,3,16,18,52,0.0,0.0,0.0,0.0,0.0,1.0
2.17,0.43,4,3,3,0,3,0,9,7,6,2,13,15,42,0.0,0.0,2.14,3.5,3.67,0.0
1.5,0.0,7,7,2,0,3,0,15,9,5,5,15,15,51,0.0,0.0,1.69,3.86,5.69,1.0
1.57,1.17,8,3,3,0,2,0,10,7,4,4,14,16,61,0.0,0.0,1.95,3.74,4.07,1.0
1.5,1.14,5,8,3,0,4,1,9,20,4,4,19,22,34,0.0,0.0,2.96,3.24,2.64,0.0
1.0,1.43,6,4,1,0,1,0,11,5,3,3,15,19,42,0.0,0.0,2.64,3.25,2.95,0.0
0.83,2.14,2,6,1,0,1,0,7,5,3,2,11,14,45,0.0,0.0,3.86,3.42,2.11,2.0
2.0,1.0,4,2,0,0,2,1,14,6,6,2,8,16,62,0.0,0.0,1.85,3.73,4.63,0.0
1.17,1.5,9,3,2,1,3,1,18,7,7,2,19,20,53,0.0,0.0,1.66,3.94,5.89,1.0
2.0,1.14,7,2,1,0,4,0,10,6,7,3,28,16,57,0.0,0.0,2.39,3.34,3.25,2.0
1.86,1.83,3,6,3,0,3,0,8,9,0,4,11,13,46,0.0,0.0,2.18,3.47,3.59,0.0
1.86,1.38,5,7,3,0,3,0,7,7,4,4,11,15,62,0.0,0.0,2.58,3.33,2.96,2.0
1.75,1.71,3,3,3,0,2,0,5,2,3,2,20,9,48,0.0,0.0,2.98,3.36,2.55,2.0
1.38,1.57,9,9,1,0,1,1,7,13,5,6,14,14,44,0.0,0.0,2.6,3.44,2.86,0.0
1.13,0.5,6,5,2,0,4,1,11,9,7,3,11,10,57,0.0,0.0,2.3,3.38,3.39,1.0
1.0,1.38,6,4,2,0,2,0,11,7,4,5,16,18,55,0.0,0.0,2.37,3.47,3.17,1.0
2.29,0.71,5,3,2,0,0,0,11,4,5,2,9,20,65,0.0,0.0,2.43,3.5,3.05,2.0
1.13,0.38,7,5,1,0,2,1,10,8,8,4,12,19,55,0.0,0.0,2.65,3.42,2.81,2.0
0.88,2.0,8,8,0,0,4,0,9,7,4,4,23,15,54,0.0,0.0,2.91,3.23,2.69,0.0
1.57,2.25,7,7,3,0,4,0,11,9,7,5,15,13,55,0.0,0.0,3.2,3.26,2.46,2.0
2.0,0.86,8,6,3,0,3,0,12,8,6,3,11,17,47,0.0,0.0,2.04,3.71,3.77,0.0
1.29,1.43,10,5,3,0,1,0,13,5,8,0,19,19,60,0.0,0.0,1.83,3.66,4.84,2.0
1.71,1.38,5,0,2,0,2,0,7,5,4,3,21,24,48,0.0,0.0,2.84,3.32,2.69,1.0
2.13,1.14,6,4,1,0,1,0,10,5,8,3,17,17,58,0.0,0.0,1.79,3.96,4.69,0.0
0.71,1.0,2,5,3,0,2,1,10,9,2,3,14,25,51,0.0,0.0,2.57,3.26,3.04,0.0
1.14,1.25,7,2,4,0,3,0,21,6,10,3,19,16,64,0.0,0.0,2.13,3.44,3.77,2.0
1.57,0.14,8,3,3,0,3,0,13,3,6,0,11,10,62,0.0,0.0,1.48,4.56,7.77,0.0
1.5,0.86,4,5,2,0,3,0,12,6,7,5,18,17,56,0.0,0.0,1.99,3.65,4.02,1.0
1.43,1.57,4,7,4,1,1,0,6,12,4,4,15,11,39,0.0,0.0,2.47,3.43,3.04,0.0
1.44,0.75,8,0,1,0,1,1,10,10,6,7,24,14,55,0.0,0.0,2.07,3.68,3.7,0.0
1.13,0.88,4,7,1,0,2,0,10,6,5,3,15,19,54,0.0,0.0,2.42,3.23,3.31,2.0
1.63,1.38,5,4,2,0,3,0,9,15,6,6,16,27,49,0.0,0.0,2.97,3.24,2.63,2.0
1.38,1.33,4,3,3,0,1,0,12,10,7,4,19,16,41,0.0,0.0,2.34,3.36,3.33,0.0
1.63,1.0,13,1,2,0,2,0,11,6,6,2,13,21,62,0.0,0.0,2.25,3.57,3.33,2.0
1.0,0.13,1,4,1,0,3,0,18,12,8,3,15,18,51,0.0,0.0,1.63,4.06,6.05,0.0
1.75,1.63,4,2,2,0,1,0,18,5,5,3,14,12,58,0.0,0.0,1.4,4.92,9.42,0.0
2.11,1.88,4,5,2,0,1,0,6,11,5,5,17,12,31,0.0,0.0,2.61,3.57,2.76,0.0
1.0,1.44,4,9,3,0,2,0,9,6,3,2,11,7,50,0.0,0.0,2.76,3.24,2.82,1.0
1.0,1.78,5,4,1,0,3,0,6,9,3,3,12,21,59,0.0,0.0,2.03,3.51,4.03,0.0
2.0,0.89,7,3,1,0,1,0,14,8,8,5,15,17,44,0.0,0.0,2.26,3.32,3.54,2.0
1.0,1.33,2,4,2,0,0,0,8,17,6,5,9,12,49,0.0,0.0,3.03,3.25,2.58,2.0
1.63,2.33,6,7,3,0,3,0,5,9,3,5,16,16,47,0.0,0.0,3.41,3.35,2.31,2.0
1.56,1.0,8,8,2,0,2,0,13,10,5,7,12,15,52,0.0,0.0,2.8,3.34,2.71,2.0
2.22,0.56,3,2,1,0,4,0,6,10,2,0,14,17,63,0.0,0.0,1.76,3.74,5.29,0.0
1.56,1.56,4,1,2,0,2,0,12,7,8,2,14,15,42,0.0,0.0,2.33,3.3,3.42,1.0
1.11,1.38,-1,-1,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,3.59,3.44,2.19,1.0
1.11,0.67,6,3,3,0,1,0,12,8,7,2,19,18,51,0.0,0.0,2.36,3.46,3.21,1.0
1.22,1.22,7,7,1,0,3,0,12,8,6,3,22,16,49,0.0,0.0,1.94,3.52,4.43,1.0
1.6,1.67,6,5,2,0,3,0,9,15,5,9,15,22,53,0.0,0.0,2.6,3.39,2.89,0.0
1.44,0.67,5,7,2,0,4,0,7,6,5,5,27,16,45,0.0,0.0,2.54,3.31,3.04,0.0
1.44,1.11,2,5,3,0,1,0,11,5,3,0,17,15,58,0.0,0.0,2.37,3.26,3.39,2.0
1.0,1.22,5,4,3,0,1,0,20,14,15,7,11,18,52,0.0,0.0,0.0,0.0,0.0,2.0
1.56,1.44,2,2,1,0,1,0,8,11,3,5,22,17,51,0.0,0.0,1.64,3.85,6.46,1.0
1.89,1.56,10,3,2,0,2,0,9,5,4,3,15,22,64,0.0,0.0,1.65,3.86,6.24,0.0
1.44,1.4,9,6,1,0,1,0,13,4,3,0,14,14,57,0.0,0.0,2.36,3.36,3.3,2.0
1.0,0.11,4,1,2,0,2,0,9,6,2,3,14,11,53,0.0,0.0,2.04,3.39,4.17,0.0
1.1,1.5,5,3,1,0,2,0,11,5,8,3,15,11,58,0.0,0.0,3.04,3.39,2.49,2.0
1.78,2.4,5,9,1,0,2,0,7,11,5,4,15,23,38,0.0,0.0,3.59,3.4,2.21,0.0
0.9,1.2,5,1,1,0,1,0,5,7,3,2,14,8,50,0.0,0.0,3.05,3.4,2.48,2.0
1.4,1.6,9,5,1,0,1,0,9,11,5,6,11,17,46,0.0,0.0,2.1,3.36,3.98,1.0
1.1,1.1,3,4,4,0,3,0,12,8,4,2,18,23,46,0.0,0.0,3.25,3.32,2.4,2.0
2.3,0.7,7,4,2,0,6,0,13,7,3,5,15,25,64,0.0,0.0,1.74,3.89,5.16,2.0
1.5,1.5,7,4,1,1,3,1,10,11,5,5,10,13,45,0.0,0.0,2.17,3.32,3.8,0.0
1.2,0.5,8,6,1,0,2,0,10,9,5,4,12,15,45,0.0,0.0,2.14,3.48,3.7,0.0
2.2,1.33,7,0,0,0,4,0,14,11,6,7,13,17,52,0.0,0.0,2.33,3.52,3.21,1.0
2.0,1.2,4,4,2,0,1,0,7,3,3,0,16,13,60,0.0,0.0,1.76,3.86,5.08,0.0
1.3,0.1,5,4,1,0,1,1,14,6,8,2,5,15,58,0.0,0.0,1.66,3.87,6.04,1.0
1.9,1.4,12,7,1,0,2,0,11,8,6,6,14,17,56,0.0,0.0,1.66,3.91,6.0,2.0
1.5,1.4,5,6,1,1,1,0,8,11,5,6,11,14,54,0.0,0.0,2.23,3.28,3.67,1.0
